Tue Aug 13 11:27:09 2024    output.prof

         9665 function calls (9656 primitive calls) in 0.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 C:\Users\yonat\anaconda3\envs\basenv\Lib\encodings\cp1255.py:18(encode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:764(_code_to_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      7/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       22    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\anaconda3\envs\basenv\Lib\encodings\__init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       14    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\topy.py:228(SETINDEX)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      114    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\createdpython.py:237(iswritable)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\createdpython.py:619(copyvar)
